bins,time(ms),ntransactions,intable,minsize,minsup,nitemsets,exploredpatterns2,algorithm
20,29766,3422,trajectory.oldenburg_standard_2000_distinct,10,27,310,141461653,CTM
20,20245,3228,trajectory.oldenburg_standard_2000_distinct,10,35,14,114954120,CTM
20,23004,3302,trajectory.oldenburg_standard_2000_distinct,10,34,24,123199668,CTM
20,26030,3310,trajectory.oldenburg_standard_2000_distinct,10,33,37,124875500,CTM
20,23596,3321,trajectory.oldenburg_standard_2000_distinct,10,32,51,127540720,CTM
20,25220,3338,trajectory.oldenburg_standard_2000_distinct,10,31,73,130226412,CTM
20,26562,3350,trajectory.oldenburg_standard_2000_distinct,10,30,112,131866138,CTM
20,29019,3371,trajectory.oldenburg_standard_2000_distinct,10,29,153,134582334,CTM
20,30420,3412,trajectory.oldenburg_standard_2000_distinct,10,28,226,139558106,CTM
20,29453,3422,trajectory.oldenburg_standard_2000_distinct,10,27,310,141461653,CTM
20,32073,3446,trajectory.oldenburg_standard_2000_distinct,10,26,409,144955873,CTM
20,30633,3503,trajectory.oldenburg_standard_2000_distinct,10,25,558,149783629,CTM
20,32158,3510,trajectory.oldenburg_standard_2000_distinct,10,24,753,150939512,CTM
20,32857,3514,trajectory.oldenburg_standard_2000_distinct,10,23,1018,152597309,CTM
20,32103,3520,trajectory.oldenburg_standard_2000_distinct,10,22,1360,154720971,CTM
20,32426,3552,trajectory.oldenburg_standard_2000_distinct,10,21,1766,157644739,CTM
20,31818,3576,trajectory.oldenburg_standard_2000_distinct,10,20,2294,159822576,CTM
20,34389,3639,trajectory.oldenburg_standard_2000_distinct,10,15,8566,165735572,CTM
20,32218,3659,trajectory.oldenburg_standard_2000_distinct,10,10,25778,166641332,CTM
20,33862,3674,trajectory.oldenburg_standard_2000_distinct,10,5,58407,167534559,CTM
18,25406,3645,trajectory.oldenburg_standard_2000_distinct,10,27,92,102173405,CTM
16,15305,3393,trajectory.oldenburg_standard_2000_distinct,10,27,18,65708685,CTM
14,10392,3551,trajectory.oldenburg_standard_2000_distinct,10,27,1,45235518,CTM
12,6293,2309,trajectory.oldenburg_standard_2000_distinct,10,27,0,15837389,CTM
20,38885,,,10,35,13,352548,SPARE
20,41268,,,10,34,17,487183,SPARE
20,45400,,,10,33,20,728305,SPARE
20,38999,,,10,32,27,1052375,SPARE
20,41565,,,10,31,42,1692356,SPARE
20,39411,,,10,30,48,2686077,SPARE
20,640872,,,10,25,186,235605538,SPARE
20,35986,,,10,35,13,352548,SPARE
20,37318,,,10,34,17,487183,SPARE
20,32741,,,10,33,20,728305,SPARE
20,35240,,,10,32,27,1052375,SPARE
20,34129,,,10,31,42,1692356,SPARE
20,34065,,,10,30,48,2686077,SPARE
20,33688,,,10,29,64,3791536,SPARE
20,43400,,,10,28,92,9592942,SPARE
20,58891,3422,,10,27,103,18118285,SPARE
20,81393,,,10,26,134,45880330,SPARE
20,813544,,,10,25,186,235605538,SPARE
18,38014,3645,,10,27,40,2157735,SPARE
16,37245,3393,,10,27,8,586952,SPARE
14,38701,3551,,10,27,1,105829,SPARE
12,37312,2309,,10,27,0,53485,SPARE
21,81019,3478,trajectory.oldenburg_standard_2000_distinct,10,27,221,38129899,SPARE
28,57610,2793,trajectory.oldenburg_standard_2000_distinct,10,27,3655,412639460,CTM
26,49613,3026,trajectory.oldenburg_standard_2000_distinct,10,27,5424,407630316,CTM
24,36068,2959,trajectory.oldenburg_standard_2000_distinct,10,27,3327,187568644,CTM
22,33153,3466,trajectory.oldenburg_standard_2000_distinct,10,27,574,264275049,CTM
36,95669,2199,trajectory.oldenburg_standard_2000_distinct,10,27,36327,612095367,CTM
34,61868,2341,trajectory.oldenburg_standard_2000_distinct,10,27,25227,374743975,CTM
32,151984,2452,trajectory.oldenburg_standard_2000_distinct,10,27,35386,1075427975,CTM
30,39781,2621,trajectory.oldenburg_standard_2000_distinct,10,27,10413,226943818,CTM
21,28261,3478,trajectory.oldenburg_standard_2000_distinct,10,27,713,129463606,CTM