dataset,mincoh,minsize,minsup,iterations,itemsets,time(ms),customtime,cellsize,eps,repartition,disabledpruning,storagethr,nexecutor,ncore,maxram,weeklyscale,timebucketthreshold,totalcells,trajectories,timebucketunit,timebucketsize
final_oldenburg_dataset,0.0,100,10,469472,44210,14007, 17024,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,1127,50000,5,1
final_oldenburg_dataset,0.0,100,10,55525,44,3705, 6047,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,14945,0,2363, 4022,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,387,50000,15,1
final_oldenburg_dataset,0.0,50,10,151859,1518,5168, 8661,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3875, 5820,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,150,10,28500,5,3188, 5031,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,5,63398,33075,4691, 7329,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3726, 5703,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,15,18797,0,2244, 4084,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,38043,42,6540, 8692,1000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,8192,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3634, 5997,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,28850,963,3587, 5737,10000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,236,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3893, 6980,5000,2.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3723, 5652,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3752, 6062,5000,Infinity,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,20483,37,2836, 5272,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,2.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3813, 5820,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,46665,52,3898, 6840,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,Infinity,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3787, 6452,5000,5.0,1,true,1000000,7,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3618, 6097,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3673, 5465,5000,5.0,1,true,1000000,11,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3613, 5788,5000,5.0,1,true,1000000,9,2,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,3625, 5770,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,55525,44,4105, 6349,5000,5.0,1,true,1000000,9,4,12g,NoTimeScale,5.0,574,50000,10,1
final_oldenburg_dataset,0.0,100,10,35709475,21770357,1089668, 1775914,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,1127,500000,5,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,51839, 54077,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,410975,10534,13976, 16006,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,387,500000,15,1
final_oldenburg_dataset,0.0,50,10,3851876,751321,74231, 76975,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,52341, 54870,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,150,10,1183052,79095,40711, 43814,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,5,2068037,1860708,64628, 83394,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,51146, 53252,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,15,1210141,325,28023, 30467,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,6331725,1393741,598941, 614588,1000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,8192,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,53792, 56942,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,342574,72412,25209, 27714,10000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,236,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,51116, 53427,5000,2.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,51402, 54048,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,52589, 54975,5000,Infinity,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,406984,73300,18071, 20273,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,2.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,52832, 55068,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1904098,241526,56620, 58830,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,Infinity,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,64632, 66785,5000,5.0,1,true,1000000,7,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,51571, 54043,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,45206, 47508,5000,5.0,1,true,1000000,11,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,69697, 71747,5000,5.0,1,true,1000000,9,2,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,50527, 52711,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,43968, 46308,5000,5.0,1,true,1000000,9,4,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,122031509,89926293,4433134, 8582448,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,1127,1000000,5,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,152129, 154737,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,923348,51060,30859, 34122,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,387,1000000,15,1
final_oldenburg_dataset,0.0,50,10,9227090,2670302,200816, 231352,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,154907, 157041,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,150,10,3143497,429193,123060, 125700,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,5,5201336,4889104,189425, 310358,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,148486, 150984,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,15,3256873,4351,83541, 86022,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,26444750,8985057,2747475, 3167467,1000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,8192,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,156185, 159332,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,662936,172687,62146, 64299,10000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,236,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,150591, 152936,5000,2.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,162112, 164955,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,151747, 154321,5000,Infinity,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,904868,258828,40925, 43247,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,2.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,149346, 151896,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,5152531,1095836,165184, 176747,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,Infinity,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,187617, 189975,5000,5.0,1,true,1000000,7,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,148939, 151818,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,125761, 128088,5000,5.0,1,true,1000000,11,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,208761, 211549,5000,5.0,1,true,1000000,9,2,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,153438, 156311,5000,5.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,4846162,912665,124265, 127328,5000,5.0,1,true,1000000,9,4,12g,NoTimeScale,5.0,574,1000000,10,1
final_oldenburg_dataset,0.0,100,10,1263509,142614,33777, 35496,5000,1.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1904146,204292,47013, 49072,5000,2.0,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
final_oldenburg_dataset,0.0,100,10,1903711,205940,50309, 52747,5000,Infinity,1,true,1000000,9,3,12g,NoTimeScale,5.0,574,500000,10,1
